id,business_id,name,account_number,account_details,account_type_id,note,created_by,is_closed,deleted_at,created_at,updated_at
1,2,K-net,1111,"[{""label"":""Refrence"",""value"":null},{""label"":null,""value"":null},{""label"":null,""value"":null},{""label"":null,""value"":null},{""label"":null,""value"":null},{""label"":null,""value"":null}]",0,,2,0,,2022-01-22 14:42:34,2022-01-22 14:42:34
2,2,Cash,22222,"[{""label"":null,""value"":null},{""label"":null,""value"":null},{""label"":null,""value"":null},{""label"":null,""value"":null},{""label"":null,""value"":null},{""label"":null,""value"":null}]",0,,2,0,,2022-01-22 14:43:05,2022-01-22 14:43:05
